experiment_id,experiment_description,model_key,model_name,feature_count,features_used,cv_splits,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,mean_pr_auc,mean_f1,mean_precision,mean_recall_sensitivity,mean_specificity,mean_brier_score,oof_balanced_accuracy,oof_roc_auc,oof_f1
A,Core Biomechanical Features,logistic_regression,Logistic Regression (L2),9,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate']",4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0031,1.0,1.0,1.0
A,Core Biomechanical Features,random_forest,Random Forest Classifier,9,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate']",4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,1.0,1.0,1.0
A,Core Biomechanical Features,xgboost,XGBoost Classifier,9,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate']",4,0.875,0.2165,0.9375,0.9375,0.9167,0.875,1.0,0.75,0.1119,0.875,0.9861,0.9
B,Core Biomechanics + Frontal/Asymmetry Proxies,logistic_regression,Logistic Regression (L2),10,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate', 'knee_valgus_proxy_left_max']",4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0024,1.0,1.0,1.0
B,Core Biomechanics + Frontal/Asymmetry Proxies,random_forest,Random Forest Classifier,10,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate', 'knee_valgus_proxy_left_max']",4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002,1.0,1.0,1.0
B,Core Biomechanics + Frontal/Asymmetry Proxies,xgboost,XGBoost Classifier,10,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate', 'knee_valgus_proxy_left_max']",4,0.875,0.2165,0.9375,0.9375,0.9167,0.875,1.0,0.75,0.1141,0.875,0.9861,0.9
C,Core + Asymmetry + Developmental Deviation Proxies,logistic_regression,Logistic Regression (L2),12,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate', 'knee_valgus_proxy_left_max', 'knee_flexion_deviation_proxy', 'hip_flexion_deviation_proxy']",4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0018,1.0,1.0,1.0
C,Core + Asymmetry + Developmental Deviation Proxies,random_forest,Random Forest Classifier,12,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate', 'knee_valgus_proxy_left_max', 'knee_flexion_deviation_proxy', 'hip_flexion_deviation_proxy']",4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
C,Core + Asymmetry + Developmental Deviation Proxies,xgboost,XGBoost Classifier,12,"['knee_flexion_rom_left', 'peak_knee_flexion_left', 'hip_flexion_rom_left', 'ankle_dorsiflexion_rom_left', 'trunk_lean_max', 'hip_adduction_max', 'hip_internal_rotation_max', 'peak_vertical_grf', 'vertical_loading_rate', 'knee_valgus_proxy_left_max', 'knee_flexion_deviation_proxy', 'hip_flexion_deviation_proxy']",4,0.875,0.2165,0.9375,0.9375,0.9167,0.875,1.0,0.75,0.112,0.875,0.9861,0.9
